"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","1473","UI Test – Verifies that the 'Customer Login' page title is correct.","CrossBrowserTestSuite","Sun May 18 02:04:42 GMT+03:00 2025","passed","Sun May 18 02:04:44 GMT+03:00 2025","org.example.CustomerLoginTest","Firefox Tests","org.example.CustomerLoginTest","testCustomerLoginPageTitle"
"","802","Negative Test – Verifies that required field errors appear when fields are left empty.","CrossBrowserTestSuite","Sun May 18 02:04:44 GMT+03:00 2025","passed","Sun May 18 02:04:44 GMT+03:00 2025","org.example.CustomerLoginTest","Chrome Tests","org.example.CustomerLoginTest","testEmptyEmailAndPasswordShowsRequiredFieldErrors"
"","1025","Negative Test – Verifies that a required field error message appears when the email field is left empty.","CrossBrowserTestSuite","Sun May 18 02:05:00 GMT+03:00 2025","passed","Sun May 18 02:05:01 GMT+03:00 2025","org.example.CreateNewAccountTest","Firefox Tests","org.example.CreateNewAccountTest","testMissingEmailField"
"","2191","Negative Test – Verifies that an incorrect login attempt shows the correct error message.","CrossBrowserTestSuite","Sun May 18 02:04:45 GMT+03:00 2025","passed","Sun May 18 02:04:48 GMT+03:00 2025","org.example.CustomerLoginTest","Edge Tests","org.example.CustomerLoginTest","testIncorrectLoginShowsErrorMessage"
"","4133","Positive Test – Verifies that the form can be successfully submitted with valid input data.","CrossBrowserTestSuite","Sun May 18 02:05:04 GMT+03:00 2025","passed","Sun May 18 02:05:08 GMT+03:00 2025","org.example.CreateNewAccountTest","Firefox Tests","org.example.CreateNewAccountTest","testSubmitForm"
"","779","Negative Test – Verifies that a required field error message appears when the email field is left empty.","CrossBrowserTestSuite","Sun May 18 02:04:58 GMT+03:00 2025","passed","Sun May 18 02:04:59 GMT+03:00 2025","org.example.CreateNewAccountTest","Edge Tests","org.example.CreateNewAccountTest","testMissingEmailField"
"","1544","UI Test – Verifies Forgot Password page loads and title is correct.","CrossBrowserTestSuite","Sun May 18 02:05:10 GMT+03:00 2025","passed","Sun May 18 02:05:12 GMT+03:00 2025","org.example.ForgotPasswordTest","Firefox Tests","org.example.ForgotPasswordTest","testForgotPasswordPageTitle"
"","1582","Positive Test – Verifies that the search bar works and returns results","CrossBrowserTestSuite","Sun May 18 02:05:15 GMT+03:00 2025","passed","Sun May 18 02:05:17 GMT+03:00 2025","org.example.HomePageTest","Chrome Tests","org.example.HomePageTest","testSearchFunctionality"
"","781","Negative Test – Verifies that a password with fewer than three character classes triggers an error.","CrossBrowserTestSuite","Sun May 18 02:04:58 GMT+03:00 2025","passed","Sun May 18 02:04:58 GMT+03:00 2025","org.example.CreateNewAccountTest","Chrome Tests","org.example.CreateNewAccountTest","testPasswordInsufficientCharacterClasses"
"","1622","UI Test – Verifies that 'Create New Customer Account' page title is correct.","CrossBrowserTestSuite","Sun May 18 02:04:56 GMT+03:00 2025","passed","Sun May 18 02:04:58 GMT+03:00 2025","org.example.CreateNewAccountTest","Firefox Tests","org.example.CreateNewAccountTest","testCreateAccountPageTitle"
"","1282","Positive Test – Verifies that clicking 'Forgot Your Password?' redirects to the Forgot Password page.","CrossBrowserTestSuite","Sun May 18 02:04:44 GMT+03:00 2025","passed","Sun May 18 02:04:45 GMT+03:00 2025","org.example.CustomerLoginTest","Edge Tests","org.example.CustomerLoginTest","testForgotPasswordLinkRedirectsCorrectly"
"","2323","Negative Test – Verifies that an invalid email format triggers the appropriate error message.","CrossBrowserTestSuite","Sun May 18 02:04:49 GMT+03:00 2025","passed","Sun May 18 02:04:52 GMT+03:00 2025","org.example.CustomerLoginTest","Firefox Tests","org.example.CustomerLoginTest","testInvalidEmailFormatShowsError"
"","2124","Negative Test – Verifies that an incorrect login attempt shows the correct error message.","CrossBrowserTestSuite","Sun May 18 02:04:46 GMT+03:00 2025","passed","Sun May 18 02:04:48 GMT+03:00 2025","org.example.CustomerLoginTest","Chrome Tests","org.example.CustomerLoginTest","testIncorrectLoginShowsErrorMessage"
"","753","Negative Test – Verifies that required field errors appear when fields are left empty.","CrossBrowserTestSuite","Sun May 18 02:04:43 GMT+03:00 2025","passed","Sun May 18 02:04:44 GMT+03:00 2025","org.example.CustomerLoginTest","Edge Tests","org.example.CustomerLoginTest","testEmptyEmailAndPasswordShowsRequiredFieldErrors"
"","4831","Positive Test – Verifies that clicking 'Create an Account' redirects to the 'Create New Customer Account' page.","CrossBrowserTestSuite","Sun May 18 02:04:38 GMT+03:00 2025","passed","Sun May 18 02:04:43 GMT+03:00 2025","org.example.CustomerLoginTest","Chrome Tests","org.example.CustomerLoginTest","testCreateAccountRedirection"
"","1019","Negative Test – Verifies that an invalid email format triggers the appropriate error message.","CrossBrowserTestSuite","Sun May 18 02:04:48 GMT+03:00 2025","passed","Sun May 18 02:04:49 GMT+03:00 2025","org.example.CustomerLoginTest","Edge Tests","org.example.CustomerLoginTest","testInvalidEmailFormatShowsError"
"","2272","Positive Test – Verifies that the form can be successfully submitted with valid input data.","CrossBrowserTestSuite","Sun May 18 02:04:49 GMT+03:00 2025","passed","Sun May 18 02:04:51 GMT+03:00 2025","org.example.CustomerLoginTest","Edge Tests","org.example.CustomerLoginTest","testSubmitForm"
"","1544","UI Test – Verifies Forgot Password page loads and title is correct.","CrossBrowserTestSuite","Sun May 18 02:05:05 GMT+03:00 2025","passed","Sun May 18 02:05:06 GMT+03:00 2025","org.example.ForgotPasswordTest","Chrome Tests","org.example.ForgotPasswordTest","testForgotPasswordPageTitle"
"","977","Negative Test – Verifies that a mismatch between password and confirm password fields triggers an error.","CrossBrowserTestSuite","Sun May 18 02:04:59 GMT+03:00 2025","passed","Sun May 18 02:05:00 GMT+03:00 2025","org.example.CreateNewAccountTest","Firefox Tests","org.example.CreateNewAccountTest","testMismatchedPasswords"
"","925","Negative Test – Verifies that a mismatch between password and confirm password fields triggers an error.","CrossBrowserTestSuite","Sun May 18 02:04:57 GMT+03:00 2025","passed","Sun May 18 02:04:58 GMT+03:00 2025","org.example.CreateNewAccountTest","Edge Tests","org.example.CreateNewAccountTest","testMismatchedPasswords"
"","952","Negative Test – Verifies that an invalid email format triggers the appropriate error message.","CrossBrowserTestSuite","Sun May 18 02:04:48 GMT+03:00 2025","passed","Sun May 18 02:04:49 GMT+03:00 2025","org.example.CustomerLoginTest","Chrome Tests","org.example.CustomerLoginTest","testInvalidEmailFormatShowsError"
"","2239","Positive Test – Verifies that the form can be successfully submitted with valid input data.","CrossBrowserTestSuite","Sun May 18 02:04:49 GMT+03:00 2025","passed","Sun May 18 02:04:51 GMT+03:00 2025","org.example.CustomerLoginTest","Chrome Tests","org.example.CustomerLoginTest","testSubmitForm"
"","919","Negative Test – Verifies that a password with fewer than three character classes triggers an error.","CrossBrowserTestSuite","Sun May 18 02:05:01 GMT+03:00 2025","passed","Sun May 18 02:05:02 GMT+03:00 2025","org.example.CreateNewAccountTest","Firefox Tests","org.example.CreateNewAccountTest","testPasswordInsufficientCharacterClasses"
"","2441","UI Test – Verifies that homepage loads successfully and title is correct","CrossBrowserTestSuite","Sun May 18 02:05:18 GMT+03:00 2025","passed","Sun May 18 02:05:21 GMT+03:00 2025","org.example.HomePageTest","Firefox Tests","org.example.HomePageTest","testHomePageTitle"
"","945","Negative Test – Verifies that an invalid email format triggers the appropriate error message.","CrossBrowserTestSuite","Sun May 18 02:04:55 GMT+03:00 2025","passed","Sun May 18 02:04:56 GMT+03:00 2025","org.example.CreateNewAccountTest","Chrome Tests","org.example.CreateNewAccountTest","testInvalidEmailFormat"
"","2326","Negative Test – Verifies that required field errors appear when fields are left empty.","CrossBrowserTestSuite","Sun May 18 02:04:44 GMT+03:00 2025","passed","Sun May 18 02:04:46 GMT+03:00 2025","org.example.CustomerLoginTest","Firefox Tests","org.example.CustomerLoginTest","testEmptyEmailAndPasswordShowsRequiredFieldErrors"
"","4359","Positive Test – Verifies that a reset link is sent when a valid email is submitted.","CrossBrowserTestSuite","Sun May 18 02:05:12 GMT+03:00 2025","passed","Sun May 18 02:05:16 GMT+03:00 2025","org.example.ForgotPasswordTest","Firefox Tests","org.example.ForgotPasswordTest","testResetPasswordRequestWithValidEmail"
"","1238","Positive Test – Verifies that clicking 'Forgot Your Password?' redirects to the Forgot Password page.","CrossBrowserTestSuite","Sun May 18 02:04:46 GMT+03:00 2025","passed","Sun May 18 02:04:47 GMT+03:00 2025","org.example.CustomerLoginTest","Firefox Tests","org.example.CustomerLoginTest","testForgotPasswordLinkRedirectsCorrectly"
"","632","UI Test – Verifies that the 'Customer Login' page title is correct.","CrossBrowserTestSuite","Sun May 18 02:04:43 GMT+03:00 2025","passed","Sun May 18 02:04:43 GMT+03:00 2025","org.example.CustomerLoginTest","Edge Tests","org.example.CustomerLoginTest","testCustomerLoginPageTitle"
"","1743","UI + Positive Test – Verifies that the LUMA logo image is visible and clickable","CrossBrowserTestSuite","Sun May 18 02:05:21 GMT+03:00 2025","passed","Sun May 18 02:05:23 GMT+03:00 2025","org.example.HomePageTest","Firefox Tests","org.example.HomePageTest","testLogoVisibilityAndClick"
"","2673","UI + Positive Test – Verifies that the LUMA logo image is visible and clickable","CrossBrowserTestSuite","Sun May 18 02:05:13 GMT+03:00 2025","passed","Sun May 18 02:05:15 GMT+03:00 2025","org.example.HomePageTest","Chrome Tests","org.example.HomePageTest","testLogoVisibilityAndClick"
"","785","Negative Test – Verifies that a password shorter than 8 characters triggers a length validation error.","CrossBrowserTestSuite","Sun May 18 02:04:58 GMT+03:00 2025","passed","Sun May 18 02:04:59 GMT+03:00 2025","org.example.CreateNewAccountTest","Chrome Tests","org.example.CreateNewAccountTest","testPasswordTooShort_Min8Characters"
"","1780","UI Test – Verifies Forgot Password page loads and title is correct.","CrossBrowserTestSuite","Sun May 18 02:05:07 GMT+03:00 2025","passed","Sun May 18 02:05:09 GMT+03:00 2025","org.example.ForgotPasswordTest","Edge Tests","org.example.ForgotPasswordTest","testForgotPasswordPageTitle"
"","912","Negative Test – Verifies that a required field error message appears when the email field is left empty.","CrossBrowserTestSuite","Sun May 18 02:04:57 GMT+03:00 2025","passed","Sun May 18 02:04:58 GMT+03:00 2025","org.example.CreateNewAccountTest","Chrome Tests","org.example.CreateNewAccountTest","testMissingEmailField"
"","1596","UI + Positive Test – Verifies that the LUMA logo image is visible and clickable","CrossBrowserTestSuite","Sun May 18 02:05:17 GMT+03:00 2025","passed","Sun May 18 02:05:19 GMT+03:00 2025","org.example.HomePageTest","Edge Tests","org.example.HomePageTest","testLogoVisibilityAndClick"
"","798","Negative Test – Verifies that a mismatch between password and confirm password fields triggers an error.","CrossBrowserTestSuite","Sun May 18 02:04:56 GMT+03:00 2025","passed","Sun May 18 02:04:57 GMT+03:00 2025","org.example.CreateNewAccountTest","Chrome Tests","org.example.CreateNewAccountTest","testMismatchedPasswords"
"","2363","Negative Test – Verifies that an incorrect login attempt shows the correct error message.","CrossBrowserTestSuite","Sun May 18 02:04:47 GMT+03:00 2025","passed","Sun May 18 02:04:49 GMT+03:00 2025","org.example.CustomerLoginTest","Firefox Tests","org.example.CustomerLoginTest","testIncorrectLoginShowsErrorMessage"
"","1906","Positive Test – Verifies that the search bar works and returns results","CrossBrowserTestSuite","Sun May 18 02:05:23 GMT+03:00 2025","passed","Sun May 18 02:05:25 GMT+03:00 2025","org.example.HomePageTest","Firefox Tests","org.example.HomePageTest","testSearchFunctionality"
"","1976","UI Test – Verifies that homepage loads successfully and title is correct","CrossBrowserTestSuite","Sun May 18 02:05:15 GMT+03:00 2025","passed","Sun May 18 02:05:17 GMT+03:00 2025","org.example.HomePageTest","Edge Tests","org.example.HomePageTest","testHomePageTitle"
"","4643","Positive Test – Verifies that clicking 'Create an Account' redirects to the 'Create New Customer Account' page.","CrossBrowserTestSuite","Sun May 18 02:04:38 GMT+03:00 2025","passed","Sun May 18 02:04:43 GMT+03:00 2025","org.example.CustomerLoginTest","Edge Tests","org.example.CustomerLoginTest","testCreateAccountRedirection"
"","1581","UI Test – Verifies that homepage loads successfully and title is correct","CrossBrowserTestSuite","Sun May 18 02:05:11 GMT+03:00 2025","passed","Sun May 18 02:05:13 GMT+03:00 2025","org.example.HomePageTest","Chrome Tests","org.example.HomePageTest","testHomePageTitle"
"","1268","Negative Test – Verifies that an invalid email format triggers the appropriate error message.","CrossBrowserTestSuite","Sun May 18 02:04:58 GMT+03:00 2025","passed","Sun May 18 02:04:59 GMT+03:00 2025","org.example.CreateNewAccountTest","Firefox Tests","org.example.CreateNewAccountTest","testInvalidEmailFormat"
"","828","Negative Test – Verifies that a password with fewer than three character classes triggers an error.","CrossBrowserTestSuite","Sun May 18 02:04:59 GMT+03:00 2025","passed","Sun May 18 02:04:59 GMT+03:00 2025","org.example.CreateNewAccountTest","Edge Tests","org.example.CreateNewAccountTest","testPasswordInsufficientCharacterClasses"
"","1275","Positive Test – Verifies that clicking 'Forgot Your Password?' redirects to the Forgot Password page.","CrossBrowserTestSuite","Sun May 18 02:04:44 GMT+03:00 2025","passed","Sun May 18 02:04:46 GMT+03:00 2025","org.example.CustomerLoginTest","Chrome Tests","org.example.CustomerLoginTest","testForgotPasswordLinkRedirectsCorrectly"
"","1691","Positive Test – Verifies that the search bar works and returns results","CrossBrowserTestSuite","Sun May 18 02:05:19 GMT+03:00 2025","passed","Sun May 18 02:05:20 GMT+03:00 2025","org.example.HomePageTest","Edge Tests","org.example.HomePageTest","testSearchFunctionality"
"","4320","Positive Test – Verifies that a reset link is sent when a valid email is submitted.","CrossBrowserTestSuite","Sun May 18 02:05:09 GMT+03:00 2025","passed","Sun May 18 02:05:13 GMT+03:00 2025","org.example.ForgotPasswordTest","Edge Tests","org.example.ForgotPasswordTest","testResetPasswordRequestWithValidEmail"
"","957","Negative Test – Verifies that an invalid email format triggers the appropriate error message.","CrossBrowserTestSuite","Sun May 18 02:04:56 GMT+03:00 2025","passed","Sun May 18 02:04:57 GMT+03:00 2025","org.example.CreateNewAccountTest","Edge Tests","org.example.CreateNewAccountTest","testInvalidEmailFormat"
"","632","UI Test – Verifies that the 'Customer Login' page title is correct.","CrossBrowserTestSuite","Sun May 18 02:04:43 GMT+03:00 2025","passed","Sun May 18 02:04:44 GMT+03:00 2025","org.example.CustomerLoginTest","Chrome Tests","org.example.CustomerLoginTest","testCustomerLoginPageTitle"
"","1780","Negative Test – Verifies that a password shorter than 8 characters triggers a length validation error.","CrossBrowserTestSuite","Sun May 18 02:05:02 GMT+03:00 2025","passed","Sun May 18 02:05:04 GMT+03:00 2025","org.example.CreateNewAccountTest","Firefox Tests","org.example.CreateNewAccountTest","testPasswordTooShort_Min8Characters"
"","3877","Positive Test – Verifies that a reset link is sent when a valid email is submitted.","CrossBrowserTestSuite","Sun May 18 02:05:06 GMT+03:00 2025","passed","Sun May 18 02:05:10 GMT+03:00 2025","org.example.ForgotPasswordTest","Chrome Tests","org.example.ForgotPasswordTest","testResetPasswordRequestWithValidEmail"
"","759","Negative Test – Verifies that a password shorter than 8 characters triggers a length validation error.","CrossBrowserTestSuite","Sun May 18 02:04:59 GMT+03:00 2025","passed","Sun May 18 02:05:00 GMT+03:00 2025","org.example.CreateNewAccountTest","Edge Tests","org.example.CreateNewAccountTest","testPasswordTooShort_Min8Characters"
"","4465","Positive Test – Verifies that the form can be successfully submitted with valid input data.","CrossBrowserTestSuite","Sun May 18 02:05:00 GMT+03:00 2025","passed","Sun May 18 02:05:05 GMT+03:00 2025","org.example.CreateNewAccountTest","Edge Tests","org.example.CreateNewAccountTest","testSubmitForm"
"","4172","Positive Test – Verifies that the form can be successfully submitted with valid input data.","CrossBrowserTestSuite","Sun May 18 02:04:59 GMT+03:00 2025","passed","Sun May 18 02:05:03 GMT+03:00 2025","org.example.CreateNewAccountTest","Chrome Tests","org.example.CreateNewAccountTest","testSubmitForm"
"","2961","UI Test – Verifies that 'Create New Customer Account' page title is correct.","CrossBrowserTestSuite","Sun May 18 02:04:52 GMT+03:00 2025","passed","Sun May 18 02:04:55 GMT+03:00 2025","org.example.CreateNewAccountTest","Chrome Tests","org.example.CreateNewAccountTest","testCreateAccountPageTitle"
"","3386","Positive Test – Verifies that clicking 'Create an Account' redirects to the 'Create New Customer Account' page.","CrossBrowserTestSuite","Sun May 18 02:04:39 GMT+03:00 2025","passed","Sun May 18 02:04:42 GMT+03:00 2025","org.example.CustomerLoginTest","Firefox Tests","org.example.CustomerLoginTest","testCreateAccountRedirection"
"","3065","UI Test – Verifies that 'Create New Customer Account' page title is correct.","CrossBrowserTestSuite","Sun May 18 02:04:53 GMT+03:00 2025","passed","Sun May 18 02:04:56 GMT+03:00 2025","org.example.CreateNewAccountTest","Edge Tests","org.example.CreateNewAccountTest","testCreateAccountPageTitle"
"","2200","Positive Test – Verifies that the form can be successfully submitted with valid input data.","CrossBrowserTestSuite","Sun May 18 02:04:52 GMT+03:00 2025","passed","Sun May 18 02:04:54 GMT+03:00 2025","org.example.CustomerLoginTest","Firefox Tests","org.example.CustomerLoginTest","testSubmitForm"
